Wall time,Step,Value,Value,Value,Value
1605471920,329578,9.06000042,6.860000134,10.93999958,-19.60000038
1605471958,332086,9.359999657,7.170000076,11.15999985,-19.60000038
1605472001,334842,9.56000042,7.519999981,11.51000023,-19.61000061
1605472040,337364,9.710000038,7.800000191,11.81000042,-19.63999939
1605472069,339245,10.01000023,8.130000114,11.77999973,-19.63999939
1605472105,341429,10.31000042,8.489999771,12.06999969,-19.62000084
1605472134,343367,10.60000038,8.779999733,12.34000015,-19.62000084
1605472164,345308,10.88000011,9.050000191,12.57999992,-19.61000061
1605472193,347188,11.06999969,9.329999924,12.78999996,-19.62000084
1605472224,349156,11.28999996,9.630000114,13.11999989,-19.63999939
1605472256,351120,11.46000004,9.880000114,13.39000034,-19.63999939
1605472288,353250,11.71000004,10.06999969,13.44999981,-19.64999962
1605472319,355192,11.86999989,10.31999969,13.57999992,-19.63999939
1605472354,357497,12.11999989,10.55000019,13.72000027,-19.65999985
1605472383,359360,12.28999996,10.76000023,13.93999958,-19.63999939
1605472425,361827,12.36999989,11.02999973,14.06999969,-19.62999916
1605472456,363795,12.51000023,11.31000042,14.34000015,-19.60000038
1605472485,365666,12.68999958,11.52999973,14.35999966,-19.60000038
1605472521,367994,12.85000038,11.64999962,14.46000004,-19.61000061
1605472555,370229,12.98999977,11.96000004,14.51000023,-19.61000061
1605472589,372469,13.02999973,12.18000031,14.60000038,-19.62000084
1605472623,374650,13.05000019,12.43999958,14.68999958,-19.62000084
1605472651,376437,13.19999981,12.47000027,14.68000031,-19.61000061
1605472680,378283,13.31000042,12.67000008,14.78999996,-19.60000038
1605472714,380486,13.36999989,12.90999985,14.81999969,-19.62999916
1605472745,382434,13.48999977,13.10000038,14.93999958,-19.62000084
1605472778,384559,13.59000015,13.35999966,15,-19.63999939
1605472812,386733,13.64999962,13.60999966,14.94999981,-19.63999939
1605472845,388826,13.76000023,13.72999954,15,-19.63999939
1605472880,391075,13.77999973,13.85000038,15.10999966,-19.64999962
1605472912,392984,13.89000034,14.03999996,15.18999958,-19.65999985
1605472947,395049,13.98999977,14.22000027,15.34000015,-19.64999962
1605472980,397219,14.05000019,14.32999992,15.28999996,-19.64999962
1605473009,399133,14.21000004,14.48999977,15.28999996,-19.65999985
1605473038,401024,14.30000019,14.61999989,15.31000042,-19.68000031
1605473070,402966,14.40999985,14.69999981,15.40999985,-19.70999908
1605473101,404976,14.60999966,14.84000015,15.46000004,-19.72999954
1605473133,407085,14.68999958,14.90999985,15.55000019,-19.70000076
1605473168,409435,14.67000008,14.96000004,15.57999992,-19.70999908
1605473201,411596,14.73999977,15.07999992,15.56999969,-19.71999931
1605473265,413712,14.77999973,15.13000011,15.55000019,-19.72999954
1605473405,415647,14.77999973,15.21000004,15.60000038,-19.71999931
1605521437,417910,14.86999989,15.28999996,15.68999958,-19.69000053
1605521485,419832,14.86999989,15.42000008,15.61999989,-19.69000053
1605521530,422014,14.92000008,15.55000019,15.72999954,-19.69000053
1605521568,423944,15.02999973,15.67000008,15.69999981,-19.68000031
1605521605,425923,15.10999966,15.77000046,15.76000023,-19.64999962
1605521636,427817,15.15999985,15.81999969,15.73999977,-19.64999962
1605521672,430149,15.18000031,15.90999985,15.69999981,-19.64999962
1605521705,432008,15.25,16,15.75,-19.65999985
1605521740,434000,15.27000046,16.04999924,15.76000023,-19.62999916
1605521782,436359,15.15999985,16.02000046,15.89000034,-19.61000061
1605521813,438215,15.18000031,16.06999969,16.01000023,-19.62999916
1605521843,439958,15.38000011,16.11000061,16.03000069,-19.62000084
1605521875,441783,15.47999954,16.18000031,16.04000092,-19.62999916
1605521908,443696,15.52000046,16.21999931,16.09000015,-19.62000084
1605521939,445453,15.60000038,16.29999924,16.07999992,-19.61000061
1605521972,447424,15.57999992,16.35000038,16.06999969,-19.61000061
1605522006,449476,15.69999981,16.38999939,16.06999969,-19.61000061
1605522037,451503,15.75,16.37999916,16.11000061,-19.61000061
1605522071,453520,15.76000023,16.45000076,16.12999916,-19.62000084
1605522102,455462,15.78999996,16.54000092,16.12000084,-19.61000061
1605522141,457916,15.78999996,16.54000092,16.05999947,-19.63999939
1605522169,459706,15.81999969,16.53000069,16.04999924,-19.62999916
1605522201,461671,15.82999992,16.54999924,16.06999969,-19.61000061
1605522238,463870,15.86999989,16.59000015,16.12999916,-19.62999916
1605522265,465593,15.89000034,16.62999916,16.11000061,-19.63999939
1605522295,467566,15.89999962,16.68000031,16.10000038,-19.65999985
1605522323,469456,15.96000004,16.73999977,16.21999931,-19.67000008
1605522356,471583,15.97999954,16.79999924,16.29000092,-19.67000008
1605522384,473391,16.07999992,16.70999908,16.30999947,-19.67000008
1605522413,475230,16.14999962,16.76000023,16.34000015,-19.68000031
1605522447,477201,16.17000008,16.75,16.40999985,-19.68000031
1605522478,479104,16.15999985,16.72999954,16.40999985,-19.67000008
1605522509,481139,16.13999939,16.75,16.38999939,-19.67000008
1605522543,483194,16.21999931,16.79000092,16.40999985,-19.64999962
1605522572,485097,16.22999954,16.79000092,16.40999985,-19.63999939
1605522606,487256,16.20000076,16.79999924,16.44000053,-19.62999916
1605522639,489170,16.26000023,16.80999947,16.46999931,-19.62000084
1605522677,491307,16.22999954,16.79000092,16.47999954,-19.62999916
1605522718,493806,16.18000031,16.84000015,16.29999924,-19.62000084
1605522748,495626,16.25,16.87999916,16.39999962,-19.60000038
1605522781,497648,16.29999924,16.92000008,16.45000076,-19.61000061
1605522815,499578,16.36000061,16.97999954,16.48999977,-19.62000084
,,,16.97999954,16.5,-19.64999962
,,,17.02000046,16.52000046,-19.65999985
,,,17.05999947,16.5,-19.64999962
,,,17.09000015,16.48999977,-19.65999985
,,,17.11000061,16.47999954,-19.67000008
,,,17.17000008,16.40999985,-19.68000031
,,,17.17000008,16.39999962,-19.71999931
,,,17.25,,-19.71999931
,,,17.23999977,,-19.70000076
,,,17.21999931,,-19.72999954
,,,17.23999977,,-19.71999931
,,,17.26000023,,-19.71999931
,,,,,-19.71999931
,,,,,-19.71999931
,,,,,-19.73999977
,,,,,-19.77000046
,,,,,-19.78000069
,,,,,-19.77000046
,,,,,-19.76000023
,,,,,-19.76000023
,,,,,-19.77000046
,,,,,-19.78000069
,,,,,-19.76000023
,,,,,-19.75
,,,,,-19.73999977
,,,,,-19.70999908
,,,,,-19.70999908
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.71999931
,,,,,-19.71999931
,,,,,-19.72999954
,,,,,-19.73999977
,,,,,-19.73999977
,,,,,-19.70000076
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.65999985
,,,,,-19.62000084
,,,,,-19.62999916
,,,,,-19.62000084
,,,,,-19.60000038
,,,,,-19.60000038
,,,,,-19.59000015
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.56999969
,,,,,-19.55999947
,,,,,-19.55999947
,,,,,-19.53000069
,,,,,-19.53000069
,,,,,-19.52000046
,,,,,-19.51000023
,,,,,-19.51000023
,,,,,-19.53000069
,,,,,-19.54999924
,,,,,-19.54000092
,,,,,-19.53000069
,,,,,-19.55999947
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.59000015
,,,,,-19.62000084
,,,,,-19.62000084
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.59000015
,,,,,-19.60000038
,,,,,-19.61000061
,,,,,-19.62000084
,,,,,-19.61000061
,,,,,-19.62000084
,,,,,-19.61000061
,,,,,-19.59000015
,,,,,-19.59000015
,,,,,-19.60000038
,,,,,-19.60000038
,,,,,-19.60000038
,,,,,-19.59000015
,,,,,-19.57999992
,,,,,-19.56999969
,,,,,-19.57999992
,,,,,-19.57999992
,,,,,-19.55999947
,,,,,-19.55999947
,,,,,-19.54000092
,,,,,-19.54000092
,,,,,-19.55999947
,,,,,-19.57999992
,,,,,-19.59000015
,,,,,-19.62999916
,,,,,-19.62999916
,,,,,-19.64999962
,,,,,-19.67000008
,,,,,-19.69000053
,,,,,-19.67000008
,,,,,-19.65999985
,,,,,-19.64999962
,,,,,-19.67000008
,,,,,-19.68000031
,,,,,-19.68000031
,,,,,-19.70000076
,,,,,-19.67000008
,,,,,-19.67000008
,,,,,-19.69000053
,,,,,-19.68000031
,,,,,-19.68000031
,,,,,-19.69000053
,,,,,-19.69000053
