Wall time,Step,Value,,Value,,Value,,Value
1605522265,465593,18,,13,,14,,-20
1605522295,467566,17,,15,,14,,-20
1605522323,469456,20,,20,,17,,-20
1605522356,471583,16,,20,,20,,-20
1605522384,473391,18,,7,,17,,-21
1605522413,475230,18,,20,,17,,-20
1605522447,477201,18,,13,,19,,-21
1605522478,479104,18,,17,,16,,-20
1605522509,481139,13,,15,,18,,-20
1605522543,483194,16,,19,,17,,-18
1605522572,485097,18,,12,,15,,-18
1605522606,487256,13,,18,,17,,-20
1605522639,489170,18,,20,,20,,-16
1605522677,491307,14,,16,,21,,-21
1605522718,493806,15,,21,,-1,,-19
1605522748,495626,19,,21,,21,,-18
1605522781,497648,19,,18,,21,,-18
1605522815,499578,18,,21,,19,,-21
,,,,15,,16,,-21
,,,,18,,20,,-20
,,,,17,,19,,-19
,,,,20,,19,,-19
,,,,19,,20,,-21
,,,,18,,13,,-19
,,,,19,,20,,-20
,,,,16,,,,-19
,,,,19,,,,-18
,,,,18,,,,-21
,,,,19,,,,-19
,,,,20,,,,-20
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-19
,,,,,,,,-18
,,,,,,,,-19
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-18
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-18
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-17
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-16
,,,,,,,,-17
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-18
,,,,,,,,-18
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-19
,,,,,,,,-17
,,,,,,,,-19
,,,,,,,,-21
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-17
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-19
,,,,,,,,-21
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-18
,,,,,,,,-21
,,,,,,,,-18
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-21
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-17
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-21
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-21
,,,,,,,,-21
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-18
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-19
,,,,,,,,-20
,,,,,,,,-21
,,,,,,,,-20
,,,,,,,,-17
,,,,,,,,-18
,,,,,,,,-20
,,,,,,,,-19
,,,,,,,,-21
,,,,,,,,-19
,,,,,,,,-21
,,,,,,,,-20
,,,,,,,,-18
,,,,,,,,-21
,,,,,,,,-18
,,,,,,,,-19
,,,,,,,,-18
,,,,,,,,-18
