Wall time,Step,Value,Value,Value
1605442298,250288,-0.980000019,-5.059999943,-1.99000001
1605442329,252201,-0.610000014,-4.730000019,-1.629999995
1605442355,253863,-0.239999995,-4.489999771,-1.289999962
1605442391,256052,0.07,-4.210000038,-0.959999979
1605442427,258300,0.389999986,-3.950000048,-0.610000014
1605442464,260567,0.680000007,-3.680000067,-0.230000004
1605442494,262425,1.029999971,-3.369999886,0.129999995
1605442520,264084,1.409999967,-3.069999933,0.519999981
1605442554,266138,1.769999981,-2.680000067,0.879999995
1605442584,268092,2.069999933,-2.329999924,1.25
1605442614,270084,2.440000057,-2.029999971,1.570000052
1605442640,271793,2.819999933,-1.720000029,1.919999957
1605442667,273640,3.170000076,-1.409999967,2.279999971
1605442695,275483,3.529999971,-1.059999943,2.609999895
1605442725,277361,3.880000114,-0.720000029,2.970000029
1605442753,279021,4.239999771,-0.370000005,3.329999924
1605442787,281094,4.579999924,-0.129999995,3.720000029
1605442819,283010,4.869999886,0.200000003,4.110000134
1605442849,284997,5.210000038,0.460000008,4.400000095
1605442877,286929,5.449999809,0.74000001,4.71999979
1605442903,288776,5.789999962,1.00999999,5.059999943
1605442934,290920,6.099999905,1.409999967,5.400000095
1605442958,292637,6.449999809,1.730000019,5.78000021
1605442993,294995,6.71999979,2.039999962,6.110000134
1605443022,296857,7.099999905,2.339999914,6.400000095
1605443051,298856,7.400000095,2.640000105,6.730000019
1605443079,300715,7.760000229,2.920000076,7.059999943
1605443110,302546,8.079999924,3.269999981,7.409999847
1605443138,304270,8.409999847,3.619999886,7.739999771
1605443169,306309,8.75,3.890000105,8.079999924
1605443199,308170,9.079999924,4.210000038,8.430000305
1605443229,310146,9.319999695,4.460000038,8.739999771
1605443261,312154,9.630000114,4.789999962,8.649999619
1605443287,313923,9.930000305,5,8.930000305
1605443317,315930,10.18999958,5.21999979,9.260000229
1605443343,317648,10.53999996,5.53000021,9.539999962
1605443373,319515,10.77999973,5.860000134,9.789999962
1605443404,321513,10.97999954,6.150000095,10.05000019
1605443433,323465,11.28999996,6.420000076,10.31999969
1605443459,325094,11.57999992,6.670000076,10.56999969
1605443487,326899,11.86999989,6.900000095,10.85999966
1605443511,328561,12.22999954,7.159999847,11.07999992
1605443539,330409,12.47999954,7.46999979,11.28999996
1605443568,332319,12.73999977,7.679999828,11.43999958
1605443593,334077,13,7.929999828,11.63000011
1605443622,335928,13.26000023,8.229999542,11.85999966
1605443650,337678,13.52000046,8.479999542,11.97000027
1605443675,339463,13.80000019,8.609999657,12.17000008
1605443702,341208,14.06999969,8.789999962,12.44999981
1605443737,343529,14.30000019,9.020000458,12.64000034
1605443762,345226,14.56999969,9.270000458,12.84000015
1605443788,347006,14.71000004,9.510000229,13.02999973
1605443814,348670,15.02000046,9.590000153,13.22000027
1605443846,350616,15.31000042,9.699999809,13.43000031
1605443877,352586,15.5,9.989999771,13.68000031
1605443908,354591,15.65999985,10.22000027,13.97000027
1605443935,356218,15.85999966,10.43999958,14.18000031
1605443966,358255,16,10.52000046,14.31000042
1605443993,360014,16.21999931,10.69999981,14.43000031
1605444019,361893,16.37999916,10.85999966,14.56999969
1605444047,363847,16.53000069,11.02000046,14.71000004
1605444074,365731,16.73999977,11.18000031,14.75
1605444101,367717,16.88999939,11.31999969,14.85000038
1605444128,369661,16.97999954,11.59000015,14.98999977
1605444156,371640,17.06999969,11.81000042,15.07999992
1605444181,373394,17.10000038,12.03999996,15.27999973
1605444210,375332,17.11000061,12.26000023,15.43999958
1605444239,377336,17.18000031,12.47999954,15.61999989
1605444275,379924,17.23999977,12.69999981,15.61999989
1605444301,381708,17.30999947,12.96000004,15.89000034
1605444328,383602,17.45999908,13.07999992,15.90999985
1605444353,385387,17.54999924,13.22000027,15.98999977
1605444378,387130,17.59000015,13.32999992,16.10000038
1605444403,388909,17.61000061,13.57999992,16.19000053
1605444435,391133,17.62999916,13.77000046,16.20999908
1605444462,393071,17.63999939,13.93999958,16.27000046
1605444490,394798,17.64999962,14.18999958,16.37000084
1605444515,396566,17.68000031,14.32999992,16.5
1605444539,398284,17.71999931,14.43000031,16.54000092
1605444566,400214,17.70000076,14.51000023,16.56999969
1605444591,402020,17.68000031,14.61999989,16.60000038
1605444616,403760,17.70000076,14.67000008,16.64999962
1605444641,405512,17.70000076,14.71000004,16.63999939
1605444665,407155,17.70999908,14.81999969,16.68000031
1605444691,409040,17.67000008,14.85999966,16.69000053
1605444720,411007,17.63999939,14.89000034,16.70000076
1605444749,412843,17.62000084,15.02000046,16.84000015
1605444772,414547,17.62000084,15.14000034,16.88999939
1605444796,416253,17.62999916,15.25,16.84000015
1605444825,418247,17.62000084,15.38000011,16.95999908
1605444849,420003,17.62000084,15.52999973,17.05999947
1605444873,421729,17.62000084,15.73999977,17.07999992
1605444896,423376,17.69000053,15.85000038,17.15999985
1605444920,425067,17.72999954,15.96000004,17.19000053
1605444947,427039,17.70999908,15.98999977,17.20999908
1605444975,429031,17.67000008,16.06999969,17.13999939
1605445006,431038,17.63999939,16.18000031,17.20000076
1605445035,433118,17.63999939,16.30999947,17.28000069
1605445062,435073,17.65999985,16.28000069,17.29000092
1605445088,436874,17.65999985,16.35000038,17.31999969
1605445117,438805,17.64999962,16.32999992,17.31999969
1605445141,440535,17.65999985,16.39999962,17.36000061
1605445165,442198,17.65999985,16.52000046,17.42000008
1605445200,444606,17.64999962,16.57999992,17.47999954
1605445231,446622,17.63999939,16.69000053,17.52000046
1605445259,448283,17.70999908,16.71999931,17.55999947
1605445289,450074,17.71999931,16.75,17.54999924
1605445313,451717,17.72999954,16.82999992,17.52000046
1605445345,453836,17.70000076,16.80999947,17.53000069
1605445373,455783,17.68000031,16.79999924,17.54000092
1605445396,457428,17.70000076,16.87999916,17.59000015
1605445421,459148,17.70000076,16.89999962,17.61000061
1605445446,460813,17.70999908,16.96999931,17.63999939
1605445473,462620,17.70999908,16.90999985,17.64999962
1605445497,464267,17.75,16.88999939,17.62000084
1605445526,466375,17.68000031,16.92000008,17.60000038
1605445553,468129,17.71999931,,17.62999916
1605445579,469790,17.75,,17.63999939
1605445606,471708,17.75,,17.70000076
1605445633,473619,17.76000023,,17.73999977
1605445662,475647,17.76000023,,
1605445687,477389,17.82999992,,
1605445712,479114,17.84000015,,
1605445740,480925,17.87999916,,
1605445770,482803,17.87000084,,
1605445800,484602,17.89999962,,
1605445828,486325,17.92000008,,
1605445853,487953,17.95000076,,
1605445880,489730,17.94000053,,
1605445905,491424,17.97999954,,
1605445932,493300,17.96999931,,
1605445957,495044,18,,
